Customernumber,Fleng,Fwidth,Quantity
data4_ORD_000001,464.0,60.0,1
data4_ORD_000002,799.0,139.0,1
data4_ORD_000003,1500.0,60.0,1
data4_ORD_000004,1201.0,70.0,1
data4_ORD_000005,663.0,70.0,1
data4_ORD_000006,2004.0,94.0,1
data4_ORD_000007,894.0,100.0,1
data4_ORD_000008,559.0,60.0,1
data4_ORD_000009,145.0,545.0,1
data4_ORD_000010,103.5,590.0,1
data4_ORD_000011,872.0,543.0,1
data4_ORD_000012,360.0,279.0,1
data4_ORD_000013,732.0,322.0,1
data4_ORD_000014,499.0,543.0,1
data4_ORD_000015,840.0,611.0,1
data4_ORD_000016,373.0,541.0,1
data4_ORD_000017,923.0,523.0,1
data4_ORD_000018,1475.0,317.0,1
data4_ORD_000019,1800.0,280.0,1
data4_ORD_000020,857.0,700.0,1
data4_ORD_000021,382.0,578.0,1
data4_ORD_000022,1872.0,288.0,1
data4_ORD_000023,1094.0,268.0,1
data4_ORD_000024,320.0,300.0,1
data4_ORD_000025,408.0,281.0,1
data4_ORD_000026,460.0,320.0,1
data4_ORD_000027,873.0,573.0,1
data4_ORD_000028,896.5,410.0,1
data4_ORD_000029,839.0,118.0,1
data4_ORD_000030,616.0,70.0,1
data4_ORD_000031,1902.0,70.0,1
data4_ORD_000032,616.0,70.0,1
data4_ORD_000033,383.0,90.0,1
data4_ORD_000034,864.0,60.0,1
data4_ORD_000035,616.0,70.0,1
data4_ORD_000036,1630.0,145.0,1
data4_ORD_000037,132.0,400.0,1
data4_ORD_000038,920.0,108.0,1
data4_ORD_000039,284.0,503.0,1
data4_ORD_000040,2154.0,320.0,1
data4_ORD_000041,682.0,201.0,1
data4_ORD_000042,414.0,541.0,1
data4_ORD_000043,600.0,450.0,1
data4_ORD_000044,2352.0,328.0,1
data4_ORD_000045,600.0,260.0,1
data4_ORD_000046,600.0,534.0,1
data4_ORD_000047,865.0,673.0,1
data4_ORD_000048,466.0,211.0,1
data4_ORD_000049,376.0,398.0,1
data4_ORD_000050,2210.0,314.0,1
data4_ORD_000051,394.0,541.0,1
data4_ORD_000052,725.0,394.0,1
data4_ORD_000053,2390.0,174.0,1
data4_ORD_000054,376.0,173.0,1
data4_ORD_000055,500.0,382.0,1
data4_ORD_000056,489.0,315.0,1
data4_ORD_000057,1414.0,508.0,1
data4_ORD_000058,1468.0,423.0,1
data4_ORD_000059,814.0,139.0,1
data4_ORD_000060,70.0,620.0,1
data4_ORD_000061,839.0,118.0,1
data4_ORD_000062,749.0,119.0,1
data4_ORD_000063,614.0,70.0,1
data4_ORD_000064,1112.0,70.0,1
data4_ORD_000065,788.0,70.0,1
data4_ORD_000066,1420.0,370.0,1
data4_ORD_000067,690.0,442.0,1
data4_ORD_000068,200.0,150.0,1
data4_ORD_000069,1253.0,500.0,1
data4_ORD_000070,400.0,560.0,1
data4_ORD_000071,583.0,260.0,1
data4_ORD_000072,406.0,259.0,1
data4_ORD_000073,1628.0,300.0,1
data4_ORD_000074,660.0,539.0,1
data4_ORD_000075,312.5,370.0,1
data4_ORD_000076,829.0,313.0,1
data4_ORD_000077,1014.0,282.0,1
data4_ORD_000078,300.0,500.0,1
data4_ORD_000079,359.0,211.0,1
data4_ORD_000080,373.0,541.0,1
data4_ORD_000081,332.0,201.0,1
data4_ORD_000082,1969.0,194.0,1
data4_ORD_000083,474.0,309.0,1
data4_ORD_000084,749.0,281.0,1
data4_ORD_000085,1094.0,350.0,1
data4_ORD_000086,360.0,319.0,1
data4_ORD_000087,1386.0,311.0,1
data4_ORD_000088,933.0,541.0,1
data4_ORD_000089,342.0,580.0,1
data4_ORD_000090,200.0,150.0,1
data4_ORD_000091,954.0,369.0,1
data4_ORD_000092,569.0,561.0,1
data4_ORD_000093,408.0,299.0,1
data4_ORD_000094,497.0,580.0,1
data4_ORD_000095,391.0,308.0,1
data4_ORD_000096,742.0,419.0,1
data4_ORD_000097,502.0,419.0,1
data4_ORD_000098,897.5,312.0,1
data4_ORD_000099,497.0,829.0,1
data4_ORD_000100,1350.0,300.0,1
data4_ORD_000101,412.0,553.0,1
data4_ORD_000102,718.0,573.0,1
data4_ORD_000103,1264.0,500.0,1
data4_ORD_000104,459.0,188.0,1
data4_ORD_000105,773.0,186.0,1
data4_ORD_000106,1022.0,329.0,1
data4_ORD_000107,1113.0,358.5,1
data4_ORD_000108,755.0,530.0,1
data4_ORD_000109,118.5,540.0,1
data4_ORD_000110,1732.0,70.0,1
data4_ORD_000111,108.5,511.0,1
data4_ORD_000112,624.0,60.0,1
data4_ORD_000113,841.0,70.0,1
data4_ORD_000114,655.7,70.0,1
data4_ORD_000115,70.0,300.0,1
data4_ORD_000116,407.0,60.0,1
data4_ORD_000117,738.0,60.0,1
data4_ORD_000118,1504.0,90.0,1
data4_ORD_000119,664.0,303.0,1
data4_ORD_000120,379.0,255.0,1
data4_ORD_000121,1071.0,240.0,1
data4_ORD_000122,543.5,507.0,1
data4_ORD_000123,182.0,470.0,1
data4_ORD_000124,703.0,330.0,1
data4_ORD_000125,1979.0,383.0,1
data4_ORD_000126,967.0,329.0,1
data4_ORD_000127,1763.5,619.5,1
data4_ORD_000128,1032.0,261.0,1
data4_ORD_000129,300.0,300.0,1
data4_ORD_000130,514.0,343.0,1
data4_ORD_000131,459.0,188.0,1
data4_ORD_000132,800.0,499.0,1
data4_ORD_000133,284.0,503.0,1
data4_ORD_000134,765.0,551.0,1
data4_ORD_000135,1480.0,562.0,1
data4_ORD_000136,1533.5,249.0,1
data4_ORD_000137,790.0,543.0,1
data4_ORD_000138,439.0,553.0,1
data4_ORD_000139,616.0,70.0,1
data4_ORD_000140,324.0,131.0,1
data4_ORD_000141,103.5,590.0,1
data4_ORD_000142,663.0,70.0,1
data4_ORD_000143,749.0,119.0,1
data4_ORD_000144,1419.0,70.0,1
data4_ORD_000145,2230.0,120.0,1
data4_ORD_000146,1062.0,142.0,1
data4_ORD_000147,2225.0,120.0,1
data4_ORD_000148,1021.0,80.0,1
data4_ORD_000149,841.0,533.0,1
data4_ORD_000150,900.0,160.0,1
data4_ORD_000151,664.0,299.0,1
data4_ORD_000152,183.0,591.0,1
data4_ORD_000153,854.0,166.0,1
data4_ORD_000154,1888.0,500.0,1
data4_ORD_000155,393.5,352.0,1
data4_ORD_000156,232.2,360.0,1
data4_ORD_000157,2090.0,410.0,1
data4_ORD_000158,865.0,673.0,1
data4_ORD_000159,340.0,317.0,1
