Customernumber,Fleng,Fwidth,Quantity
data6_ORD_000001,579.0,391.0,1
data6_ORD_000002,1866.5,397.0,1
data6_ORD_000003,870.0,633.0,1
data6_ORD_000004,652.5,472.0,1
data6_ORD_000005,782.5,368.0,1
data6_ORD_000006,1352.5,445.5,1
data6_ORD_000007,1352.5,445.5,1
data6_ORD_000008,490.5,319.5,1
data6_ORD_000009,1755.5,448.2,1
data6_ORD_000010,1791.0,145.0,1
data6_ORD_000011,264.0,60.0,1
data6_ORD_000012,895.0,70.0,1
data6_ORD_000013,1113.0,70.0,1
data6_ORD_000014,983.0,70.0,1
data6_ORD_000015,82.0,636.0,1
data6_ORD_000016,967.0,297.0,1
data6_ORD_000017,618.7,297.0,1
data6_ORD_000018,1014.0,380.0,1
data6_ORD_000019,720.0,554.0,1
data6_ORD_000020,1910.0,297.0,1
data6_ORD_000021,887.0,358.0,1
data6_ORD_000022,350.0,219.0,1
data6_ORD_000023,1610.5,352.5,1
data6_ORD_000024,506.5,581.0,1
data6_ORD_000025,392.0,428.0,1
data6_ORD_000026,335.0,760.0,1
data6_ORD_000027,1012.0,543.0,1
data6_ORD_000028,429.0,531.0,1
data6_ORD_000029,1600.0,518.0,1
data6_ORD_000030,225.0,313.0,1
data6_ORD_000031,465.0,309.0,1
data6_ORD_000032,483.0,303.0,1
data6_ORD_000033,392.5,428.0,1
data6_ORD_000034,650.0,260.0,1
data6_ORD_000035,2100.0,534.0,1
data6_ORD_000036,480.0,158.0,1
data6_ORD_000037,609.0,521.0,1
data6_ORD_000038,421.5,371.0,1
data6_ORD_000039,335.0,760.0,1
data6_ORD_000040,247.0,251.0,1
data6_ORD_000041,766.0,309.0,1
data6_ORD_000042,353.0,167.0,1
data6_ORD_000043,465.0,303.0,1
data6_ORD_000044,483.0,303.0,1
data6_ORD_000045,948.0,311.0,1
data6_ORD_000046,727.0,665.0,1
data6_ORD_000047,873.5,429.0,1
data6_ORD_000048,868.5,430.0,1
data6_ORD_000049,615.0,290.0,1
data6_ORD_000050,974.0,533.0,1
data6_ORD_000051,373.0,259.0,1
data6_ORD_000052,480.0,158.0,1
