uid,Upi,Fleng,Fwidth
1,gcut7_0001,348,220
2,gcut7_0002,255,184
3,gcut7_0003,191,249
4,gcut7_0004,212,194
5,gcut7_0005,348,322
6,gcut7_0006,171,369
7,gcut7_0007,206,327
8,gcut7_0008,221,277
9,gcut7_0009,250,202
10,gcut7_0010,205,226
11,gcut7_0011,193,280
12,gcut7_0012,364,311
13,gcut7_0013,264,224
14,gcut7_0014,244,347
15,gcut7_0015,270,338
16,gcut7_0016,224,236
17,gcut7_0017,168,177
18,gcut7_0018,285,347
19,gcut7_0019,315,294
20,gcut7_0020,247,219
21,gcut7_0021,315,302
22,gcut7_0022,129,147
23,gcut7_0023,268,273
24,gcut7_0024,350,352
25,gcut7_0025,186,258
26,gcut7_0026,365,374
27,gcut7_0027,145,259
28,gcut7_0028,284,184
29,gcut7_0029,129,198
30,gcut7_0030,146,351
