uid,Upi,Fleng,Fwidth
1,gcut13_0001,365,185
2,gcut13_0002,378,200
3,gcut13_0003,410,165
4,gcut13_0004,425,148
5,gcut13_0005,425,296
6,gcut13_0006,439,116
7,gcut13_0007,464,1006
8,gcut13_0008,520,205
9,gcut13_0009,520,350
10,gcut13_0010,540,530
11,gcut13_0011,549,1413
12,gcut13_0012,549,1882
13,gcut13_0013,553,496
14,gcut13_0014,555,755
15,gcut13_0015,555,496
16,gcut13_0016,555,659
17,gcut13_0017,567,473
18,gcut13_0018,572,592
19,gcut13_0019,572,975
20,gcut13_0020,572,1175
21,gcut13_0021,572,1575
22,gcut13_0022,572,1390
23,gcut13_0023,572,1490
24,gcut13_0024,572,1590
25,gcut13_0025,572,1690
26,gcut13_0026,572,1890
27,gcut13_0027,610,625
28,gcut13_0028,660,490
29,gcut13_0029,690,447
30,gcut13_0030,949,445
31,gcut13_0031,949,478
32,gcut13_0032,970,463
