uid,Upi,Fleng,Fwidth
1,M1c_0001,4,9
2,M1c_0002,4,4
3,M1c_0003,9,8
4,M1c_0004,5,8
5,M1c_0005,7,4
6,M1c_0006,3,1
7,M1c_0007,5,9
8,M1c_0008,4,3
9,M1c_0009,6,3
10,M1c_0010,7,9
11,M1c_0011,4,9
12,M1c_0012,6,8
13,M1c_0013,6,2
14,M1c_0014,3,4
15,M1c_0015,1,4
16,M1c_0016,1,6
17,M1c_0017,8,6
18,M1c_0018,7,8
19,M1c_0019,5,7
20,M1c_0020,2,7
21,M1c_0021,7,7
22,M1c_0022,6,7
23,M1c_0023,1,5
24,M1c_0024,3,2
25,M1c_0025,9,6
26,M1c_0026,3,9
27,M1c_0027,4,7
28,M1c_0028,2,2
29,M1c_0029,3,5
30,M1c_0030,9,4
31,M1c_0031,2,9
32,M1c_0032,7,8
33,M1c_0033,2,5
34,M1c_0034,1,7
35,M1c_0035,2,4
36,M1c_0036,3,9
37,M1c_0037,1,3
38,M1c_0038,2,3
39,M1c_0039,2,6
40,M1c_0040,8,9
41,M1c_0041,2,8
42,M1c_0042,6,6
43,M1c_0043,9,5
44,M1c_0044,9,6
45,M1c_0045,2,6
46,M1c_0046,6,4
47,M1c_0047,9,5
48,M1c_0048,6,5
49,M1c_0049,3,4
50,M1c_0050,4,1
51,M1c_0051,8,2
52,M1c_0052,1,4
53,M1c_0053,6,1
54,M1c_0054,2,2
55,M1c_0055,6,5
56,M1c_0056,6,7
57,M1c_0057,4,7
58,M1c_0058,4,8
59,M1c_0059,6,2
60,M1c_0060,9,8
61,M1c_0061,4,9
62,M1c_0062,2,9
63,M1c_0063,6,4
64,M1c_0064,6,7
65,M1c_0065,1,3
66,M1c_0066,3,4
67,M1c_0067,9,7
68,M1c_0068,7,9
69,M1c_0069,4,4
70,M1c_0070,9,3
71,M1c_0071,4,6
72,M1c_0072,4,7
73,M1c_0073,7,7
74,M1c_0074,7,2
75,M1c_0075,2,3
76,M1c_0076,7,9
77,M1c_0077,4,5
78,M1c_0078,2,5
79,M1c_0079,6,4
80,M1c_0080,7,1
81,M1c_0081,1,1
82,M1c_0082,1,4
83,M1c_0083,3,7
84,M1c_0084,2,4
85,M1c_0085,1,7
86,M1c_0086,7,2
87,M1c_0087,7,6
88,M1c_0088,6,5
89,M1c_0089,1,5
90,M1c_0090,5,9
91,M1c_0091,7,5
92,M1c_0092,7,7
93,M1c_0093,4,4
94,M1c_0094,2,1
95,M1c_0095,3,8
96,M1c_0096,2,3
97,M1c_0097,5,1
98,M1c_0098,4,5
99,M1c_0099,6,7
100,M1c_0100,4,4
