uid,Upi,Fleng,Fwidth
1,M1a_0001,1,6
2,M1a_0002,2,8
3,M1a_0003,6,5
4,M1a_0004,4,9
5,M1a_0005,8,7
6,M1a_0006,2,8
7,M1a_0007,7,5
8,M1a_0008,3,1
9,M1a_0009,1,4
10,M1a_0010,2,2
11,M1a_0011,9,5
12,M1a_0012,2,1
13,M1a_0013,1,4
14,M1a_0014,5,6
15,M1a_0015,6,6
16,M1a_0016,2,6
17,M1a_0017,5,4
18,M1a_0018,1,6
19,M1a_0019,8,8
20,M1a_0020,5,3
21,M1a_0021,8,7
22,M1a_0022,9,9
23,M1a_0023,5,2
24,M1a_0024,5,3
25,M1a_0025,8,2
26,M1a_0026,8,8
27,M1a_0027,9,9
28,M1a_0028,6,4
29,M1a_0029,3,3
30,M1a_0030,4,1
31,M1a_0031,7,1
32,M1a_0032,3,3
33,M1a_0033,6,7
34,M1a_0034,8,7
35,M1a_0035,5,2
36,M1a_0036,7,5
37,M1a_0037,5,9
38,M1a_0038,7,1
39,M1a_0039,6,4
40,M1a_0040,7,6
41,M1a_0041,6,4
42,M1a_0042,2,3
43,M1a_0043,4,8
44,M1a_0044,5,9
45,M1a_0045,7,4
46,M1a_0046,2,6
47,M1a_0047,5,1
48,M1a_0048,7,5
49,M1a_0049,2,9
50,M1a_0050,2,9
51,M1a_0051,7,3
52,M1a_0052,4,1
53,M1a_0053,9,7
54,M1a_0054,2,8
55,M1a_0055,8,6
56,M1a_0056,2,2
57,M1a_0057,8,5
58,M1a_0058,2,5
59,M1a_0059,7,4
60,M1a_0060,3,6
61,M1a_0061,7,7
62,M1a_0062,7,5
63,M1a_0063,2,4
64,M1a_0064,5,6
65,M1a_0065,4,1
66,M1a_0066,9,9
67,M1a_0067,5,4
68,M1a_0068,5,4
69,M1a_0069,8,3
70,M1a_0070,5,3
71,M1a_0071,9,3
72,M1a_0072,7,6
73,M1a_0073,2,7
74,M1a_0074,8,4
75,M1a_0075,5,9
76,M1a_0076,6,1
77,M1a_0077,5,2
78,M1a_0078,8,6
79,M1a_0079,6,2
80,M1a_0080,8,2
81,M1a_0081,1,7
82,M1a_0082,3,9
83,M1a_0083,3,4
84,M1a_0084,2,7
85,M1a_0085,8,7
86,M1a_0086,6,7
87,M1a_0087,3,2
88,M1a_0088,1,1
89,M1a_0089,8,8
90,M1a_0090,2,2
91,M1a_0091,5,1
92,M1a_0092,2,5
93,M1a_0093,7,7
94,M1a_0094,5,1
95,M1a_0095,4,2
96,M1a_0096,7,3
97,M1a_0097,4,3
98,M1a_0098,6,5
99,M1a_0099,6,2
100,M1a_0100,5,9
