Fleng,Fwidth
1513.0,554.0
804.0,553.0
1100.0,275.0
350.0,221.0
422.0,339.0
2060.0,550.0
373.0,315.0
864.0,217.0
414.0,349.0
2000.0,324.0
1070.0,300.0
876.0,269.0
203.5,250.0
1284.0,359.0
476.0,323.0
932.0,350.0
334.0,303.0
2346.0,269.0
708.0,431.0
794.0,191.0
364.0,311.0
434.0,553.0
393.0,551.0
434.0,553.0
368.0,256.0
794.3,358.0
833.0,541.0
2406.0,316.0
746.0,315.0
739.0,543.0
171.5,638.0
580.0,382.0
669.0,349.0
833.0,541.0
2406.0,316.0
369.0,356.0
789.0,543.0
380.0,238.0
256.8,257.0
369.0,356.0
1180.5,332.0
920.0,573.0
1374.0,331.0
1964.0,383.0
373.0,315.0
1164.0,258.0
2420.0,550.0
913.0,642.0
419.0,321.0
428.0,321.0
419.0,321.0
669.0,274.0
472.0,587.0
789.0,331.0
337.0,315.0
337.0,315.0
376.0,256.0
843.0,541.0
940.5,548.0
673.0,937.5
869.0,533.0
1240.0,268.0
1434.0,433.0
2174.0,320.0
1522.0,332.0
2085.0,320.0
821.6,380.0
403.0,541.0
337.0,315.0
725.0,560.0
2277.0,549.0
708.0,70.0
2174.0,60.0
804.0,60.0
1689.0,60.0
669.0,60.0
414.0,111.0
434.0,60.0
964.0,91.0
250.0,89.0
364.0,60.0
870.0,321.0
256.8,257.0
940.5,548.0
642.5,310.0
899.0,543.0
419.0,321.0
723.0,321.0
723.0,321.0
710.0,280.0
913.0,641.0
932.0,570.0
489.0,369.0
350.0,221.0
564.0,382.0
763.0,572.0
2420.0,550.0
2406.0,316.0
364.0,313.0
789.0,543.0
414.0,323.0
870.0,321.0
414.0,60.0
1726.0,60.0
70.0,300.0
866.0,323.0
451.0,253.0
673.0,452.5
813.5,324.0
389.0,543.0
1480.0,323.0
930.0,394.0
730.0,341.0
1240.0,268.0
1240.0,268.0
373.0,509.0
440.0,544.0
1244.0,311.0
380.0,640.0
1114.0,311.0
364.0,211.0
264.0,394.0
1200.0,220.0
725.0,330.0
1964.0,221.0
714.0,323.0
800.0,900.0
1834.0,281.0
1020.0,300.0
864.0,429.0
1889.0,470.0
700.0,300.0
392.0,477.0
950.0,548.0
1953.0,350.0
969.0,289.0
780.0,299.0
749.5,389.0
282.0,327.0
245.5,287.0
853.5,342.0
818.5,302.0
708.0,433.0
1164.0,511.0
850.0,639.0
1181.0,253.0
514.0,355.0
362.0,540.0
361.0,530.0
732.0,246.0
732.0,246.0
786.5,367.5
160.0,432.0
1491.0,268.0
714.0,120.0
882.0,432.0
1284.0,341.0
775.0,782.0
932.0,350.0
731.0,301.0
800.0,330.0
708.0,431.0
794.0,191.0
794.0,191.0
775.0,1164.0
866.0,323.0
703.0,541.0
913.0,639.0
781.0,541.0
975.0,355.0
869.0,533.0
864.0,335.0
1824.0,543.0
775.0,783.0
964.0,541.0
406.0,60.0
2290.0,101.0
810.0,70.0
955.0,73.0
397.0,60.0
150.0,330.0
804.0,60.0
70.0,300.0
1665.0,70.0
984.0,60.0
887.0,533.0
1917.0,288.0
2405.0,350.0
2310.0,574.0
794.0,191.0
364.0,311.0
1946.0,543.0
514.0,211.0
364.0,311.0
1747.0,311.0
864.0,333.0
420.0,323.0
714.0,323.0
714.0,323.0
1303.0,350.0
864.0,375.0
334.0,303.0
1634.0,280.0
925.0,308.0
440.0,544.0
397.0,361.0
833.0,70.0
384.0,60.0
1314.0,60.0
1485.0,130.0
1254.0,60.0
1464.0,150.0
458.0,60.0
1963.0,60.0
150.0,1114.0
493.0,70.0
514.0,211.0
752.0,340.0
740.0,533.0
229.0,283.0
866.0,299.0
2282.0,489.0
393.0,551.0
669.0,274.0
932.0,368.0
509.0,262.0
350.0,270.0
1964.0,221.0
368.0,268.0
1480.0,240.0
800.0,382.0
481.0,587.0
2324.0,542.0
789.0,331.0
960.0,570.0
1328.5,313.0
414.0,323.0
1917.0,288.0
731.0,301.0
1600.0,1128.0
481.0,266.0
1485.0,230.0
1946.0,543.0
1935.0,680.0
1435.0,324.0
1228.0,311.0
1746.0,331.0
397.0,361.0
702.0,580.0
1435.0,324.0
2364.0,246.0
269.0,305.0
350.0,239.0
2040.0,275.0
1374.0,331.0
337.0,315.0
337.0,315.0
1464.0,60.0
904.0,60.0
1684.0,130.0
368.0,60.0
1552.0,60.0
876.0,60.0
964.0,60.0
964.0,71.0
2174.0,60.0
1964.0,111.0
2310.0,230.0
882.0,359.0
713.5,319.0
332.0,325.0
645.0,548.0
2364.0,393.0
450.0,364.0
1935.0,600.0
544.0,359.0
1164.0,382.0
406.0,323.0
484.0,541.0
2400.0,395.0
724.5,1114.0
384.0,553.0
777.0,221.0
493.0,531.0
337.0,315.0
864.0,349.0
843.0,541.0
2000.0,324.0
1785.0,70.0
463.5,120.0
725.0,330.0
2034.5,364.0
489.0,369.0
434.0,553.0
1049.5,364.0
2313.0,554.0
750.0,360.0
337.0,315.0
899.0,543.0
364.0,311.0
332.0,325.0
668.0,274.0
564.0,382.0
1748.0,311.0
723.0,321.0
453.0,279.0
1458.0,291.0
590.0,544.0
2143.5,374.0
450.0,330.0
245.5,255.0
777.0,221.0
263.5,319.0
725.0,550.0
472.0,587.0
336.0,350.0
734.0,350.0
414.0,323.0
982.0,324.0
1464.0,60.0
1481.0,60.0
964.0,91.0
1244.0,70.0
1464.0,120.0
70.0,300.0
100.0,920.0
1434.0,60.0
364.0,311.0
183.5,310.0
373.0,315.0
975.0,238.0
423.0,215.0
203.5,272.0
1370.0,370.0
2054.0,324.0
428.0,321.0
312.0,260.0
1181.0,253.0
1458.0,563.0
1810.0,259.0
723.0,321.0
865.0,323.0
509.0,281.0
423.0,373.0
334.0,303.0
540.0,434.0
752.0,340.0
2420.0,380.0
406.0,323.0
725.0,330.0
725.0,330.0
2085.0,230.0
269.0,305.0
1228.0,220.0
1513.0,554.0
814.0,359.0
775.0,530.0
734.0,350.0
588.0,383.0
373.0,315.0
162.0,315.0
789.0,543.0
725.0,464.0
420.0,323.0
451.0,253.0
950.0,314.0
2310.0,230.0
963.0,531.0
866.0,291.0
364.0,311.0
150.0,511.0
789.0,60.0
1495.0,70.0
1435.0,110.0
964.0,91.0
1964.0,111.0
614.0,70.0
1704.0,60.0
383.0,60.0
113.5,310.0
2290.0,375.0
1059.0,543.0
1560.0,213.0
865.0,323.0
419.0,321.0
723.0,321.0
710.0,280.0
869.0,533.0
775.0,1164.0
356.0,341.0
540.0,434.0
739.0,543.0
739.0,543.0
2400.0,334.0
2040.0,360.0
282.5,322.0
293.5,252.0
2000.0,534.0
372.0,299.0
869.0,533.0
160.0,502.0
635.0,520.0
377.5,310.0
866.0,323.0
451.0,253.0
1019.5,528.0
845.0,310.0
445.0,523.0
2370.0,550.0
373.0,509.0
416.0,303.0
334.0,303.0
904.0,573.0
708.0,431.0
1960.0,544.0
2180.0,330.0
229.0,283.0
904.0,60.0
1684.0,60.0
1747.0,150.0
70.0,300.0
1280.0,60.0
864.0,94.0
899.0,543.0
2420.0,544.0
419.0,321.0
938.0,279.0
700.0,300.0
882.0,453.0
2401.0,350.0
2401.0,350.0
1960.0,544.0
2310.0,514.0
417.0,275.0
275.0,275.0
797.0,275.0
725.0,710.0
350.0,329.0
1699.0,264.0
739.0,543.0
439.0,531.0
864.0,523.0
1070.0,300.0
887.0,533.0
2000.0,534.0
476.0,323.0
408.5,541.0
282.0,307.0
1684.0,925.0
440.0,544.0
873.0,579.0
406.0,323.0
1656.0,367.5
364.0,311.0
725.0,330.0
368.0,268.0
481.0,587.0
1329.0,269.0
588.0,383.0
975.0,350.0
770.0,350.0
256.9,257.0
1164.0,258.0
162.1,330.0
364.0,313.0
606.3,392.0
2000.0,324.0
219.5,310.0
714.0,323.0
415.0,534.0
876.0,251.0
423.0,373.0
754.0,327.0
2282.0,388.0
780.0,395.0
484.0,541.0
275.0,275.0
450.0,574.0
562.0,379.0
785.6,360.0
337.0,315.0
2194.0,200.0
919.0,224.0
414.0,60.0
1059.0,60.0
714.0,120.0
1194.0,60.0
767.0,60.0
1434.0,60.0
1302.0,75.0
150.0,364.0
789.0,60.0
114.0,326.0
370.0,541.0
2174.0,320.0
220.0,330.0
669.0,274.0
669.0,274.0
1378.0,320.0
1480.0,240.0
250.0,400.0
673.0,490.0
789.0,331.0
900.0,625.0
434.0,573.0
2420.0,397.0
361.0,530.0
220.0,330.0
804.0,553.0
2078.0,268.0
763.0,572.0
975.0,789.0
789.0,543.0
964.0,392.0
481.0,266.0
903.0,541.0
955.0,543.0
930.0,540.0
514.0,211.0
1938.0,580.0
904.0,553.0
795.0,359.0
160.0,511.0
304.5,508.0
429.0,60.0
369.0,60.0
1464.0,120.0
1341.0,70.0
420.0,60.0
701.0,120.0
794.0,71.0
280.0,89.0
831.0,108.0
369.0,60.0
370.0,541.0
1199.0,311.0
775.0,484.0
1964.0,221.0
467.0,275.0
797.0,275.0
1164.0,382.0
1455.0,382.0
560.0,304.0
2406.0,332.0
767.0,343.0
876.0,353.0
389.0,531.0
2230.0,382.0
930.0,394.0
356.0,341.0
392.0,311.0
702.0,574.0
848.5,322.0
332.0,345.0
80.0,326.0
927.0,70.0
640.0,70.0
919.0,60.0
831.0,108.0
899.0,60.0
789.0,60.0
964.0,70.0
451.0,60.0
123.5,753.5
2277.0,549.0
940.5,548.0
282.5,322.0
1458.0,309.0
553.5,210.0
476.0,323.0
423.0,373.0
434.0,573.0
477.5,539.0
1244.0,311.0
446.0,391.0
1240.0,268.0
708.0,431.0
925.0,964.0
440.0,544.0
397.0,361.0
688.0,310.0
698.0,509.0
173.0,313.0
337.0,315.0
925.0,258.0
703.0,541.0
2323.5,542.0
843.0,541.0
420.0,323.0
428.0,321.0
1020.0,300.0
430.0,531.0
887.0,533.0
372.0,281.0
844.0,339.0
1164.0,511.0
794.0,60.0
