Fleng,Fwidth
440.5,541.0
519.0,341.0
682.0,350.0
550.5,329.0
369.0,513.0
814.0,331.0
814.0,331.0
1301.0,341.0
478.0,293.0
731.0,270.0
882.0,269.0
834.0,250.0
913.0,473.0
813.0,350.0
934.0,331.0
813.0,350.0
869.0,313.0
2055.0,324.0
725.0,540.0
412.0,323.0
180.0,580.0
860.0,323.0
400.0,547.0
580.0,554.0
389.0,331.0
2240.5,292.0
163.5,342.0
875.0,554.0
564.0,541.0
2400.0,300.0
400.0,372.0
730.0,544.0
941.0,543.0
876.0,353.0
412.0,323.0
575.0,550.0
539.0,311.0
857.0,301.0
2340.0,514.0
397.0,543.0
900.0,550.0
2420.0,364.0
1775.0,650.0
279.0,877.5
800.0,574.0
924.0,275.0
2400.0,100.0
753.0,80.0
400.0,70.0
550.0,92.0
1009.0,70.0
400.0,70.0
70.0,300.0
363.0,80.0
1019.0,450.0
526.0,416.5
651.5,348.0
762.0,440.0
279.0,322.0
304.0,300.0
470.0,544.0
412.0,323.0
369.0,513.0
1301.0,411.0
430.0,544.0
225.0,325.0
1560.0,343.0
2420.0,344.0
1540.0,680.0
858.0,299.0
941.0,543.0
304.0,270.0
2350.0,434.0
452.0,471.0
896.0,351.0
876.0,353.0
363.0,603.0
1505.0,314.0
2040.0,544.0
160.0,914.0
401.0,560.0
2090.0,554.0
878.0,299.0
2040.0,550.0
1704.0,393.0
725.0,544.0
908.0,543.0
1850.0,604.0
363.0,603.0
400.0,314.0
989.0,553.0
804.0,199.0
870.0,225.0
2055.0,554.0
456.0,271.0
655.0,500.0
672.0,363.0
435.5,551.0
420.0,279.0
473.0,471.0
755.0,574.0
411.0,299.0
419.5,279.0
435.0,543.0
1009.0,543.0
2040.0,544.0
730.0,550.0
774.0,183.0
1419.0,331.0
896.0,351.0
424.5,279.0
369.0,513.0
2340.0,514.0
326.0,430.0
827.0,224.0
2260.0,360.0
624.0,648.0
832.0,449.0
957.0,543.0
2045.0,544.0
143.5,560.0
2243.0,70.0
600.0,92.0
2400.0,100.0
889.0,70.0
991.0,70.0
753.0,70.0
857.0,70.0
1244.0,70.0
1403.0,70.0
882.0,279.0
919.0,423.0
443.0,421.0
440.5,471.0
429.0,351.0
2040.0,544.0
861.5,302.0
2055.0,330.0
2055.0,547.0
733.0,360.0
1009.0,543.0
2150.0,544.0
477.0,531.0
844.0,433.0
180.0,1094.0
762.0,329.0
2375.0,364.0
530.0,200.0
814.0,331.0
812.0,543.0
393.0,546.0
2090.0,452.0
733.0,350.0
845.0,330.0
895.0,330.0
989.0,553.0
401.0,363.0
769.0,513.0
1301.0,411.0
397.0,543.0
400.0,200.0
860.0,323.0
857.0,543.0
580.0,554.0
580.0,560.0
580.0,554.0
814.0,331.0
430.0,544.0
769.0,513.0
769.0,513.0
877.0,543.0
2000.0,544.0
899.0,543.0
844.0,433.0
913.0,543.0
813.0,350.0
635.0,562.0
2114.0,561.0
401.0,363.0
814.0,331.0
876.0,353.0
869.0,313.0
869.0,313.0
415.0,543.0
1731.5,499.5
1028.5,302.0
470.0,544.0
2055.0,573.0
600.0,382.0
519.0,543.0
941.0,463.0
877.0,543.0
564.0,556.0
445.0,604.0
2040.0,544.0
1500.0,725.0
876.0,353.0
539.0,311.0
419.0,553.0
1301.0,411.0
941.0,60.0
696.5,326.5
1866.5,401.5
1545.0,444.5
655.0,733.0
844.0,433.0
1980.0,350.0
