Customernumber,Fleng,Fwidth,Quantity
ORD_000013,713.5,409.0,1
ORD_000018,393.0,361.0,1
ORD_000036,902.0,330.0,1
ORD_000041,2405.0,554.0,1
ORD_000042,255.0,328.0,1
ORD_000050,827.0,563.0,1
ORD_000060,384.0,373.0,1
ORD_000063,953.0,301.0,1
ORD_000065,518.0,554.0,1
ORD_000068,415.0,233.0,1
ORD_000072,1284.0,329.0,1
ORD_000079,590.0,544.0,1
ORD_000081,2397.0,812.0,1
ORD_000088,326.0,321.0,1
ORD_000094,2220.0,474.0,1
ORD_000097,417.8,433.0,1
ORD_000102,402.0,543.0,1
ORD_000113,743.0,280.0,1
ORD_000123,417.0,549.0,1
ORD_000128,182.0,300.0,1
ORD_000131,776.0,393.0,1
ORD_000132,1534.0,541.0,1
ORD_000136,509.0,331.0,1
ORD_000141,1686.0,294.0,1
ORD_000150,379.0,361.0,1
ORD_000152,2090.0,363.0,1
ORD_000158,421.0,363.0,1
ORD_000159,878.0,369.0,1
ORD_000162,932.0,427.0,1
ORD_000163,670.0,478.0,1
ORD_000166,914.0,323.0,1
ORD_000169,1458.0,299.0,1
ORD_000175,403.0,531.0,1
ORD_000178,282.0,310.0,1
ORD_000182,844.0,333.0,1
ORD_000185,2295.0,364.0,1
ORD_000187,286.0,513.0,1
ORD_000190,723.5,340.0,1
ORD_000196,474.0,411.0,1
ORD_000199,2382.0,535.0,1
ORD_000200,1847.0,310.0,1
ORD_000201,849.0,523.0,1
ORD_000202,1334.5,605.0,1
ORD_000211,430.0,361.0,1
ORD_000222,382.0,321.0,1
ORD_000225,679.0,313.0,1
ORD_000236,2090.0,304.0,1
ORD_000237,1004.0,453.0,1
ORD_000246,791.0,321.0,1
ORD_000251,313.5,293.0,1
ORD_000254,2271.0,294.0,1
ORD_000263,723.5,410.0,1
ORD_000265,514.0,332.0,1
ORD_000266,2352.0,524.0,1
ORD_000270,300.0,300.0,1
ORD_000271,1018.0,463.0,1
ORD_000273,982.0,869.0,1
ORD_000279,560.5,341.0,1
ORD_000302,494.0,281.0,1
ORD_000303,2220.0,294.0,1
ORD_000306,545.0,301.0,1
ORD_000308,558.5,307.0,1
ORD_000317,379.0,361.0,1
ORD_000327,768.0,250.0,1
ORD_000334,914.0,353.0,1
ORD_000340,2400.0,580.0,1
ORD_000346,884.0,543.0,1
ORD_000349,1626.0,329.0,1
ORD_000355,2347.0,234.0,1
ORD_000357,2190.0,304.0,1
ORD_000359,549.0,336.0,1
ORD_000364,1140.0,569.0,1
ORD_000365,549.0,336.0,1
ORD_000371,2321.0,334.0,1
ORD_000377,670.0,321.0,1
ORD_000385,2000.0,554.0,1
ORD_000388,364.0,311.0,1
ORD_000390,782.0,311.0,1
ORD_000392,700.0,310.0,1
